geoid, county, totalpopulation, totalpopulationme, totallaborforce, totallaborforcepme, employed, employedpme, unemployed, unemployedpme, medianincome, medianincomeme, meanincome, meanincomeme, medianmaleincome, medianmaleincomeme, medianfemaleincome, medianfemaleincomeme, insured, insuredpme, uninsured, uninsuredpme, belowpovertyline, belowpovertylinepme,Agricultureforestryfishingandhuntingandmining,Construction,Manufacturing,Wholesaletrade,Retailtrade,Transportationandwarehousingandutilities,Information,Financeandinsuranceandrealestateandrentalandleasing,ScientificManagementAdministrativeWastemanagementservices,Educationalservicesandhealthcareandsocialassistance, Artsentertainmentandrecreationandaccommodationandfoodservices,Otherservicesexceptpublicadministration,Publicadministration
0500000US48303,Lubbock County,241507,912,157100,2,152030,2,5070,0.5,50505,3058,70428,3746,46999,3701,36789,1723,267203,1.4,36194,1.4,10.2,2.1,3940,9738,7501,5871,16124,6798,2333,10557,13063,46469,15620,8576,5440
0500000US48441,Taylor County,106512,629,64381,2.1,61833,2.2,2548,0.6,47508,2986,66633,3875,41916,3849,34892,3590,111055,2.3,21127,2.3,11.5,2.9,1783,4276,5855,1151,8080,2247,483,4787,4481,16326,5633,2516,4215
0500000US48471,Walker County,62631,340,24898,4.6,23990,4.4,908,1,40100,7234,57559,6437,43122,4697,32383,6697,49762,2.9,7304,2.9,17.3,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US48479,Webb County,195021,1232,116423,1.5,110291,1.4,6132,0.7,46862,3473,62301,4579,40980,2250,29029,3254,193692,2.7,79940,2.7,22.8,3.1,3965,7479,2029,4304,18303,15234,772,4709,8653,23514,8722,6369,6238
0500000US48121,Denton County,673154,1405,489009,0.8,469327,0.9,19682,0.3,88117,2773,113705,2826,65244,3458,50745,1117,761305,1.1,94658,1.1,4.3,0.9,3262,27012,40153,13725,57182,27721,9997,53014,61197,97292,44853,21848,12071
0500000US48257,Kaufman County,96709,609,65916,1.9,61393,2.2,4523,1.4,66668,6153,85351,6581,51466,5075,37764,2904,107990,2.1,19541,2.1,9.8,3.4,1467,5872,4608,645,7998,5191,743,3256,4635,13255,6661,3741,3321
0500000US48375,Potter County,90107,611,54309,2.1,52488,2.3,1821,0.8,40797,3760,57771,4979,41463,4265,30014,4952,86921,3,25947,3,16.2,3.4,447,4360,9110,1573,6275,2279,757,2558,3095,9544,5872,4063,2555
0500000US48381,Randall County,107027,705,75393,2.1,73018,2.2,2375,1,70108,4333,87215,4215,53487,4620,43312,6851,122330,2,13134,2,4.4,1.7,1860,4726,5708,2160,7366,4154,1061,4743,6265,19710,7046,4065,4154
0500000US48453,Travis County,1008923,1717,734136,0.8,706327,0.9,27809,0.3,76392,2247,110876,3039,60245,2101,50776,830,1088542,0.8,152099,0.8,8.4,1,4077,48672,53911,14118,64199,25744,25953,49316,144233,139225,71405,29929,35545
0500000US48005,Angelina County,67221,461,37309,3.1,35213,3.1,2096,1.1,47519,5773,58743,3896,40439,3458,31569,2580,68467,3.9,16670,3.9,14.9,4.4,1546,4331,4173,956,4459,1176,54,957,3001,7176,3731,2679,974
0500000US48157,Fort Bend County,597161,2033,403945,1.3,383153,1.5,20792,0.6,91931,2956,121466,4498,69537,4105,51884,1730,695529,1.3,87518,1.3,6.5,1.2,15555,19999,33695,11778,44756,19131,4306,28072,50741,96302,27575,17674,13569
0500000US48181,Grayson County,106706,765,64880,2.2,61509,2.3,3371,1,51158,1866,68561,4426,45957,7351,36365,2254,106616,3,26134,3,8,2.7,935,4352,6544,1181,8086,2139,977,4254,5500,15277,7080,2858,2326
0500000US48213,Henderson County,66409,440,31763,3.8,29917,4,1846,1.2,42020,3855,64819,6449,50117,10445,37685,7302,65045,3.8,16216,3.8,15.9,4.1,1477,2803,2549,1091,3734,1971,182,1686,4781,4640,2056,1604,1343
0500000US48451,Tom Green County,92523,648,56212,2.9,53524,2.9,2688,1.3,52283,5118,70803,6182,44500,4136,35498,2457,99190,2.5,13526,2.5,11.5,3.7,3548,4005,2674,1011,6997,2399,187,3243,3331,14269,4010,3579,4271
0500000US48099,Coryell County,59586,507,24875,3.6,23185,3.5,1690,1.2,46131,7895,57297,4010,36425,1471,30686,2636,51278,3.3,6720,3.3,13,4,184,2199,1102,565,3211,2245,557,1262,2505,4956,1756,976,1667
0500000US48231,Hunt County,75537,625,46255,2.6,43943,2.7,2312,1.1,55248,7653,71428,5129,50955,4447,35627,1664,78000,3.3,17686,3.3,8,2.4,896,5015,5059,726,4864,2607,190,2309,4607,10035,3318,2375,1942
0500000US48339,Montgomery County,452956,1592,295178,1.4,284354,1.4,10824,0.5,76929,3106,111239,4879,61502,1760,46836,2468,499048,1.4,89465,1.4,7,1.5,15731,28835,24090,9492,29291,17341,4175,11809,36249,57042,22828,19831,7640
0500000US48367,Parker County,108544,667,65980,2.6,62785,2.8,3195,1.2,72004,8476,99408,8210,65339,7153,37873,6335,114010,2.9,22847,2.9,4.5,2.2,2711,5597,6355,1600,7597,4458,1024,3483,5810,12844,4161,4390,2755
0500000US48485,Wichita County,105734,654,59306,2.8,55745,2.6,3561,1.3,47373,3755,64535,4879,46707,3667,34201,3257,102022,2.2,16432,2.2,13.2,3.2,1638,4979,5110,863,6493,3833,738,2637,4017,14201,6066,2355,2815
0500000US48029,Bexar County,1534680,2530,976990,0.7,922429,0.7,54561,0.4,54149,1409,74351,1408,42440,1428,37626,1507,1647402,0.7,310883,0.7,13.2,0.8,11082,75863,50453,18421,111044,47059,13141,76760,110460,216677,110013,44413,37043
0500000US48091,Comal County,119542,618,65854,2.2,63689,2.3,2165,0.8,76203,3800,102138,7378,55755,6632,48920,3442,127488,2.4,19365,2.4,4.3,1.6,937,6214,4932,1877,7939,3960,1699,3313,7097,13042,7344,3098,2237
0500000US48187,Guadalupe County,126505,760,79376,2.2,76946,2.4,2430,0.8,74459,3104,91990,5940,51398,1604,45043,4519,143200,1.9,17933,1.9,5.8,1.7,1493,5416,6814,2634,12636,3958,1619,4969,5889,14537,4969,4929,7083
0500000US48215,Hidalgo County,614895,1863,361040,1.1,338116,1.2,22924,0.6,39165,2282,55958,2448,36053,1475,30147,1845,595926,1.5,262443,1.5,27.8,2.2,9624,31742,17437,9622,41863,15496,4372,14690,26930,96983,35390,17447,16520
0500000US48329,Midland County,127958,1139,92691,2.3,91188,2.3,1503,0.5,81210,4945,111669,8268,64671,4251,41309,1851,150038,2.4,21325,2.4,7.3,2.9,19788,5575,5611,2229,11096,5006,660,4709,6789,16218,7136,4731,1640
0500000US48361,Orange County,65739,872,40315,3.1,38767,3.6,1548,1.2,56420,5374,75115,7134,62073,4892,34192,4122,68736,3.2,14021,3.2,7.9,3.6,633,5236,5252,952,4595,1887,277,1593,4084,8193,3481,1672,912
0500000US48497,Wise County,53681,497,33589,3.7,32414,3.6,1175,0.9,69040,9883,86065,8343,51407,4061,46118,4968,56062,3.5,11470,3.5,5.8,3,1775,2386,3433,1043,4227,2567,190,1529,2018,5765,3083,2849,1549
0400000US48,Texas,22117923,11043,14266767,36411,13491168,36714,694485,16706,60629,279,85780,478,50394,225,40499,231,2674521,27955,1125218,23549,11.4,0.2,394429,1188835,1126931,359631,1530829,821118,217728,889961,1566465,2902134,1263471,697821,531815
